iteration	dimension	classification	severity	title	description	parent
1	happy_path	new	-	WhatsApp message received and AI responds	Lead sends text message → webhook receives → tenant resolved → lead created/found → conversation tracked → AI generates response → message sent back via Kapso	-
2	happy_path	new	-	Stripe checkout completes successfully	User clicks upgrade → create-checkout-session → Stripe hosted page → payment succeeds → webhook fires → subscription created → profile updated → email sent	-
3	happy_path	new	-	Kapso connection created via QR Code	Admin opens Conexoes → clicks API Nao Oficial → kapso-manager creates instance → QR code displayed → user scans → connection.update webhook fires → status=ativa	-
4	error_path	new	HIGH	OpenAI timeout during WhatsApp response	Lead sends message → AI processing starts → OpenAI takes >30s → AbortController fires → fallback message sent → agent_executions marked failed	-
5	error_path	new	HIGH	Stripe webhook signature verification fails	Stripe sends webhook → signature header present but doesn't match secret → constructEventAsync throws → returns 400 → Stripe retries	-
6	error_path	new	CRITICAL	Kapso API unreachable during message send	AI generates response → sendViaKapso fails → retry 1 (2s backoff) fails → retry 2 (4s backoff) fails → message lost, lead never gets response	-
7	error_path	new	HIGH	Tenant not resolved for incoming WhatsApp	Message arrives → 5-level tenant resolution all fail → function returns early → message silently dropped, no error to sender	-
8	edge_case	new	CRITICAL	Duplicate webhook delivery (Kapso + cold start)	Kapso retries webhook → in-memory dedup cache is empty (cold start) → DB upsert catches duplicate BUT race window exists between two simultaneous cold starts	-
9	edge_case	new	HIGH	Lead sends message with zero-length text	WhatsApp delivers empty text message or media-only with no caption → text="" → AI receives empty context → unpredictable response	-
10	edge_case	new	MEDIUM	Phone number with country code variations	Lead has +55 vs 55 vs 5511 vs 011 → telefone matching in DB may fail → creates duplicate lead for same person	-
11	edge_case	new	HIGH	Subscription webhook arrives before checkout callback	Stripe fires customer.subscription.created → profile not yet updated with stripe_customer_id → tenant resolution fails in webhook handler	-
12	concurrent	new	CRITICAL	Two messages from same lead in <1 second	Lead sends 2 rapid messages → both hit webhook simultaneously → both try to create conversation → race on INSERT → one fails or creates duplicate	-
13	concurrent	new	HIGH	Double-click on Stripe checkout button	User clicks upgrade twice rapidly → two checkout sessions created → user completes one → second session orphaned → potential double charge if both complete	-
14	concurrent	new	CRITICAL	Connection.update and message arrive simultaneously	Kapso sends connection.update (state=open) and first message at same time → message arrives before config updated → tenant resolution fails	-
15	integration	new	HIGH	Kapso API returns 429 Rate Limit	kapso-manager or sendViaKapso gets 429 → no backoff for API management calls (only message sending has retry) → operation fails silently	-
16	integration	new	CRITICAL	Stripe subscription.deleted fires but email service is down	Subscription cancelled → manageSubscriptionStatusChange runs → sendEmail fails silently (try/catch) → user never notified of cancellation	-
17	integration	new	HIGH	Kapso webhook secret header uses wrong header name	Kapso sends x-kapso-signature but code checks x-webhook-secret first → OR operator handles it but if Kapso changes header convention, auth breaks	-
18	data_variation	new	MEDIUM	WhatsApp message with special characters in name	Contact name contains emoji, RTL characters, or SQL-like patterns → stored in lead.nome → displayed in UI without sanitization issues?	-
19	data_variation	new	HIGH	Media URL expired before media-processor downloads	Lead sends image → webhook stores mediaUrl → media-processor called seconds later → Kapso media URL expired → download fails → extractedText empty	-
20	data_variation	new	MEDIUM	Stripe price in different currency than BRL	Stripe webhook delivers amount in cents (USD) → formatPrice assumes BRL → email shows wrong amount to user	-
21	abuse	new	CRITICAL	Attacker floods whatsapp-webhook with fake payloads	Attacker sends thousands of POST requests with valid-looking Kapso payloads → rate limit is 120/60s per IP → still allows 120 OpenAI calls per minute per IP	-
22	abuse	new	HIGH	Price manipulation via create-checkout-session	User modifies priceId in request body to a cheaper price → create-checkout-session passes it to Stripe without validating against allowed prices	-
23	abuse	new	HIGH	Tenant ID spoofing in WhatsApp webhook	Attacker crafts Kapso payload with instanceName=jurify_OTHERTENANT → tenant resolution via prefix matches wrong tenant → messages go to wrong law firm	-
24	scale	new	HIGH	100+ unread messages queue for single conversation	Lead sends many messages while office is closed → unread_count increments 100+ → UI loads all messages at once → performance degradation	-
25	scale	new	MEDIUM	Thousands of concurrent WhatsApp connections per tenant	Enterprise tenant creates many Kapso instances → each generates webhooks → rate limit shared across all → legitimate messages throttled	-
